Date,Name,Transaction,Event,Units
13-08-2019,RELIANCE.NS,Open,Sell,987
23-08-2019,YESBANK.NS,Close,Buy,19349
26-08-2019,YESBANK.NS,Open,Sell,19349
27-08-2019,TATAMOTORS.NS,Open,Buy,10267
27-08-2019,TATAMOTORS.NS,Close,Sell,10267
04-09-2019,SAIL.BO,Open,Buy,38552
04-09-2019,SAIL.BO,Close,Sell,38552
05-09-2019,TATAMOTORS.NS,Open,Buy,10762
05-09-2019,TATAMOTORS.NS,Close,Sell,10762
11-09-2019,YESBANK.NS,Open,Buy,18287
11-09-2019,YESBANK.NS,Close,Sell,18287
20-09-2019,SBIN.NS,Open,Buy,4531
20-09-2019,SBIN.NS,Close,Sell,4531
20-09-2019,JSWSTEEL.NS,Close,Buy,5454
23-09-2019,JSWSTEEL.NS,Open,Sell,5454
01-10-2019,YESBANK.NS,Close,Buy,40962
03-10-2019,YESBANK.NS,Open,Sell,40962
03-10-2019,YESBANK.NS,Open,Buy,38914
03-10-2019,YESBANK.NS,Close,Sell,38914
03-10-2019,YESBANK.NS,Close,Buy,36968
04-10-2019,YESBANK.NS,Open,Sell,36968
04-10-2019,YESBANK.NS,Close,Buy,37495
07-10-2019,YESBANK.NS,Open,Sell,37495
17-10-2019,YESBANK.NS,Open,Buy,39063
17-10-2019,YESBANK.NS,Close,Sell,39063
18-10-2019,YESBANK.NS,Open,Buy,37747
18-10-2019,YESBANK.NS,Close,Sell,37747
18-10-2019,LAURUSLABS.NS,Close,Buy,29146
22-10-2019,LAURUSLABS.NS,Open,Sell,29146
25-10-2019,YESBANK.NS,Open,Buy,38098
25-10-2019,YESBANK.NS,Close,Sell,38098
25-10-2019,TATAMOTORS.NS,Close,Buy,14879
27-10-2019,TATAMOTORS.NS,Open,Sell,14879
27-10-2019,TATAMOTORS.NS,Open,Buy,14135
27-10-2019,TATAMOTORS.NS,Close,Sell,14135
29-10-2019,TATAMOTORS.NS,Open,Buy,13057
29-10-2019,TATAMOTORS.NS,Close,Sell,13057
31-10-2019,YESBANK.NS,Open,Buy,38131
